id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
P13-1027,-1,0.0,-1,,Translating Italian connectives into Italian Sign Language,Translating Italian connectives into Italian Sign Language,
C04-1112,-1,0.0,-1,,A Lemma-Based Approach To A Maximum Entropy Word Sense Disambiguation System For Dutch,A Lemma-Based Approach To A Maximum Entropy Word Sense Disambiguation System For Dutch,
A00-2012,-1,0.0,-1,,Arabic Morphology Generation Using A Concatenative Strategy,Arabic Morphology Generation Using A Concatenative Strategy,
W11-1714,-1,0.0,-1,,Automatic Sentiment Classification of Product Reviews Using Maximal Phrases Based Analysis,Automatic Sentiment Classification of Product Reviews Using Maximal Phrases Based Analysis,
I08-7020,1.0,1.0,1.0,,,Enhanced Tools for Online Collaborative Language Resource Development,Enhanced Tools for Online Collaborative Language Resource Development
S12-1091,-1,0.0,-1,,SRIUBC: Simple Similarity Features for Semantic Textual Similarity,SRIUBC: Simple Similarity Features for Semantic Textual Similarity,
I08-1022,-1,0.0,-1,,Cross Language Text Categorization Using a Bilingual Lexicon,Cross Language Text Categorization Using a Bilingual Lexicon,
I08-6004,1.0,1.0,1.0,,,Some Experiments in Mining Named Entity Transliteration Pairs from Comparable Corpora,Some Experiments in Mining Named Entity Transliteration Pairs from Comparable Corpora
P10-3001,-1,0.0,-1,,Non-Cooperation in Dialogue,Non-Cooperation in Dialogue,
W04-0906,-1,0.0,-1,,Question Answering Using Ontological Semantics,Question Answering Using Ontological Semantics,
D08-1101,-1,0.0,-1,,Relative Rank Statistics for Dialog Analysis,Relative Rank Statistics for Dialog Analysis,
W02-0213,0.0,0.0,0.0,Dialogue Act Recognition with Bayesian Networks for,Dialogue Act Recognition With Bayesian Networks For Dutch Dialogues,Dialogue Act Recognition With Bayesian Networks For Dutch Dialogues,Dialogue Act Recognition with Bayesian Networks for
W13-2254,-1,0.0,-1,,MEANT at WMT 2013: A Tunable, Accurate yet Inexpensive Semantic Frame Based MT Evaluation Metric,MEANT at WMT 2013: A Tunable, Accurate yet Inexpensive Semantic Frame Based MT Evaluation Metric,
P13-1067,-1,0.0,-1,,Multilingual Affect Polarity and Valence Prediction in Metaphor-Rich Texts,Multilingual Affect Polarity and Valence Prediction in Metaphor-Rich Texts,
P11-4008,-1,0.0,-1,,Engkoo: Mining the Web for Language Learning,Engkoo: Mining the Web for Language Learning,
D07-1085,-1,0.0,-1,,A Statistical Language Modeling Approach to Lattice-Based Spoken Document Retrieval,A Statistical Language Modeling Approach to Lattice-Based Spoken Document Retrieval,
P07-1078,-1,0.0,-1,,Self-Training for Enhancement and Domain Adaptation of Statistical Parsers Trained on Small Datasets,Self-Training for Enhancement and Domain Adaptation of Statistical Parsers Trained on Small Datasets,
C04-1192,-1,0.0,-1,,Fine-Grained Word Sense Disambiguation Based On Parallel Corpora, Word Alignment, Word Clustering And Aligned Wordnets,Fine-Grained Word Sense Disambiguation Based On Parallel Corpora, Word Alignment, Word Clustering And Aligned Wordnets,
N12-1066,-1,0.0,-1,,Behavioral Factors in Interactive Training of Text Classifiers,Behavioral Factors in Interactive Training of Text Classifiers,
W06-0131,-1,0.0,-1,,POC-NLW Template For Chinese Word Segmentation,POC-NLW Template For Chinese Word Segmentation,
S12-1068,-1,0.0,-1,,ANNLOR: A Naïve Notation-system for Lexical Outputs Ranking,ANNLOR: A Naïve Notation-system for Lexical Outputs Ranking,
W11-0142,-1,0.0,-1,,Classifying Arabic Verbs Using Sibling Classes,Classifying Arabic Verbs Using Sibling Classes,
D08-1025,-1,0.0,-1,,A Noisy-Channel Model of Human Sentence Comprehension under Uncertain Input,A Noisy-Channel Model of Human Sentence Comprehension under Uncertain Input,
P11-1021,-1,0.0,-1,,A Large Scale Distributed Syntactic, Semantic and Lexical Language Model for Machine Translation,A Large Scale Distributed Syntactic, Semantic and Lexical Language Model for Machine Translation,
C10-2156,-1,0.0,-1,,Applying Syntactic, Semantic and Discourse Constraints in Chinese Temporal Annotation,Applying Syntactic, Semantic and Discourse Constraints in Chinese Temporal Annotation,
W97-0901,0.0,0.0,0.0,Reuse of a Proper Noun Recognition System in Commercial and Operational NLP,Reuse Of A Proper Noun Recognition System In Commercial And Operational NLP Applications,Reuse Of A Proper Noun Recognition System In Commercial And Operational NLP Applications,Reuse of a Proper Noun Recognition System in Commercial and Operational NLP
W07-2084,-1,0.0,-1,,UCM3: Classification of Semantic Relations between Nominals using Sequential Minimal Optimization,UCM3: Classification of Semantic Relations between Nominals using Sequential Minimal Optimization,
H05-1048,0.0,0.0,0.0,Proceedings of Human Language Technology Conference and Conference on Empirical Methods in Natural Language Processing ( HLT /,Detection Of Entity Mentions Occuring In English And Chinese Text,Detection Of Entity Mentions Occuring In English And Chinese Text,Proceedings of Human Language Technology Conference and Conference on Empirical Methods in Natural Language Processing ( HLT /
W08-2114,-1,0.0,-1,,Acquiring Knowledge from the Web to be used as Selectors for Noun Sense Disambiguation,Acquiring Knowledge from the Web to be used as Selectors for Noun Sense Disambiguation,
S10-1071,-1,0.0,-1,,HeidelTime: High Quality Rule-Based Extraction and Normalization of Temporal Expressions,HeidelTime: High Quality Rule-Based Extraction and Normalization of Temporal Expressions,
L08-1485,-1,0.0,-1,,MISTRAL: a Statistical Machine Translation Decoder for Speech Recognition Lattices,MISTRAL: a Statistical Machine Translation Decoder for Speech Recognition Lattices,
W09-1504,1.0,1.0,1.0,,,Integrated NLP Evaluation System for Pluggable Evaluation Metrics with Extensive Interoperable Toolkit,Integrated NLP Evaluation System for Pluggable Evaluation Metrics with Extensive Interoperable Toolkit
P99-1077,0.0,0.0,0.0,Cohesion and Collocation : Using Context Vectors in Text,Cohesion And Collocation: Using Context Vectors In Text Segmentation,Cohesion And Collocation: Using Context Vectors In Text Segmentation,Cohesion and Collocation : Using Context Vectors in Text
C02-1061,-1,0.0,-1,,Antonymy And Conceptual Vectors,Antonymy And Conceptual Vectors,
P11-2036,-1,0.0,-1,,Insertion Operator for Bayesian Tree Substitution Grammars,Insertion Operator for Bayesian Tree Substitution Grammars,
C10-1151,1.0,1.0,1.0,,,Heterogeneous Parsing via Collaborative Decoding,Heterogeneous Parsing via Collaborative Decoding
L08-1300,1.0,1.0,1.0,,,Automatic Extraction of Textual Elements from News Web Pages,Automatic Extraction of Textual Elements from News Web Pages
W11-1307,-1,0.0,-1,,Shared Task System Description: Measuring the Compositionality of Bigrams using Statistical Methodologies,Shared Task System Description: Measuring the Compositionality of Bigrams using Statistical Methodologies,
P13-2069,-1,0.0,-1,,Generalized Reordering Rules for Improved SMT,Generalized Reordering Rules for Improved SMT,
W03-0316,-1,0.0,-1,,POS-Tagger For English-Vietnamese Bilingual Corpus,POS-Tagger For English-Vietnamese Bilingual Corpus,
W08-0304,-1,0.0,-1,,Regularization and Search for Minimum Error Rate Training,Regularization and Search for Minimum Error Rate Training,
D13-1020,-1,0.0,-1,,MCTest: A Challenge Dataset for the Open-Domain Machine Comprehension of Text,MCTest: A Challenge Dataset for the Open-Domain Machine Comprehension of Text,
A94-1009,-1,0.0,-1,,Does Baum-Welch Re-Estimation Help Taggers?,Does Baum-Welch Re-Estimation Help Taggers?,
P08-2010,-1,0.0,-1,,Beyond Log-Linear Models: Boosted Minimum Error Rate Training for N-best Re-ranking,Beyond Log-Linear Models: Boosted Minimum Error Rate Training for N-best Re-ranking,
W12-1807,-1,0.0,-1,,Towards Situated Collaboration,Towards Situated Collaboration,
C10-2016,-1,0.0,-1,,A comparison of unsupervised methods for Part-of-Speech Tagging in Chinese,A comparison of unsupervised methods for Part-of-Speech Tagging in Chinese,
W06-0501,-1,0.0,-1,,Enriching A Formal Ontology With A Thesaurus: An Application In The Cultural Heritage Domain,Enriching A Formal Ontology With A Thesaurus: An Application In The Cultural Heritage Domain,
P82-1015,0.0,0.0,0.0,Experience with an Easily Computed Metric for Ranking,Experience With An Easily Computed Metric For Ranking Alternative Parses,Experience With An Easily Computed Metric For Ranking Alternative Parses,Experience with an Easily Computed Metric for Ranking
W07-0605,-1,0.0,-1,,I will shoot your shopping down and you can shoot all my tins---Automatic Lexical Acquisition from the CHILDES Database,I will shoot your shopping down and you can shoot all my tins---Automatic Lexical Acquisition from the CHILDES Database,
P05-3010,-1,0.0,-1,,Learning Source-Target Surface Patterns For Web-Based Terminology Translation,Learning Source-Target Surface Patterns For Web-Based Terminology Translation,
D09-1110,-1,0.0,-1,,A Compact Forest for Scalable Inference over Entailment and Paraphrase Rules,A Compact Forest for Scalable Inference over Entailment and Paraphrase Rules,
W11-0204,0.0,0.0,0.0,: A PubMed - Scale Resource for Homology - Based Generalization of Text Mining Predictions,EVEX: A PubMed-Scale Resource for Homology-Based Generalization of Text Mining Predictions,EVEX: A PubMed-Scale Resource for Homology-Based Generalization of Text Mining Predictions,: A PubMed - Scale Resource for Homology - Based Generalization of Text Mining Predictions
E83-1014,0.0,0.0,0.0,FALLIBLE RATIONALISM AND MACHINE,Fallible Rationalism And Machine Translation,Fallible Rationalism And Machine Translation,FALLIBLE RATIONALISM AND MACHINE
P11-2009,-1,0.0,-1,,Semi-supervised condensed nearest neighbor for part-of-speech tagging,Semi-supervised condensed nearest neighbor for part-of-speech tagging,
H93-1034,0.0,0.0,0.0,Efficient Collaborative Discourse : A Theory and Its,Efficient Collaborative Discourse: A Theory And Its Implementation,Efficient Collaborative Discourse: A Theory And Its Implementation,Efficient Collaborative Discourse : A Theory and Its
M91-1022,-1,0.0,-1,,GE: Description Of The NLTOOLSET System As Used For MUC-3,GE: Description Of The NLTOOLSET System As Used For MUC-3,
W99-0625,0.0,0.0,0.0,Detecting Text Similarity over Short Passages : Exploring Linguistic Feature Combinations via Machine Learning,Detecting Text Similarity Over Short Passages: Exploring Linguistic Feature Combinations Via Machine Learning,Detecting Text Similarity Over Short Passages: Exploring Linguistic Feature Combinations Via Machine Learning,Detecting Text Similarity over Short Passages : Exploring Linguistic Feature Combinations via Machine Learning
S13-1033,-1,0.0,-1,,INAOE_UPV-CORE: Extracting Word Associations from Document Corpora to estimate Semantic Textual Similarity,INAOE_UPV-CORE: Extracting Word Associations from Document Corpora to estimate Semantic Textual Similarity,
W10-1311,-1,0.0,-1,,Towards a noisy-channel model of dysarthria in speech recognition,Towards a noisy-channel model of dysarthria in speech recognition,
E93-1005,-1,0.0,-1,,Decidability And Undecidability In Stand-Alone Feature Logics,Decidability And Undecidability In Stand-Alone Feature Logics,
W10-1114,-1,0.0,-1,,Extracting Formulaic and Free Text Clinical Research Articles Metadata using Conditional Random Fields,Extracting Formulaic and Free Text Clinical Research Articles Metadata using Conditional Random Fields,
P09-2086,0.0,0.0,0.0,c2009 ACL and AFNLP A Succinct N - gram Language,A Succinct N-gram Language Model,A Succinct N-gram Language Model,c2009 ACL and AFNLP A Succinct N - gram Language
W11-1218,-1,0.0,-1,,Building a Web-Based Parallel Corpus and Filtering Out Machine-Translated Text,Building a Web-Based Parallel Corpus and Filtering Out Machine-Translated Text,
C10-2049,-1,0.0,-1,,Towards Automated Related Work Summarization,Towards Automated Related Work Summarization,
P85-1032,0.0,0.0,0.0,Structure - Sharing in Lexical Representation,Structure-Sharing In Lexical Representation,Structure-Sharing In Lexical Representation,Structure - Sharing in Lexical Representation
W02-1012,-1,0.0,-1,,Extentions To HMM-Based Statistical Word Alignment Models,Extentions To HMM-Based Statistical Word Alignment Models,
W11-2125,-1,0.0,-1,,A Minimally Supervised Approach for Detecting and Ranking Document Translation Pairs,A Minimally Supervised Approach for Detecting and Ranking Document Translation Pairs,
C10-1056,-1,0.0,-1,,Feature-Rich Discriminative Phrase Rescoring for SMT,Feature-Rich Discriminative Phrase Rescoring for SMT,
W04-2308,-1,0.0,-1,,Other-Initiated Self-Repairs In Estonian Information Dialogues: Solving Communication Problems In Cooperation,Other-Initiated Self-Repairs In Estonian Information Dialogues: Solving Communication Problems In Cooperation,
N12-2002,-1,0.0,-1,,Automatic Animacy Classification,Automatic Animacy Classification,
E12-1076,-1,0.0,-1,,Midge: Generating Image Descriptions From Computer Vision Detections,Midge: Generating Image Descriptions From Computer Vision Detections,
H01-1001,-1,0.0,-1,,Activity Detection For Information Access To Oral Communication,Activity Detection For Information Access To Oral Communication,
W09-2415,0.0,0.0,0.0,Proceedings of the NAACL HLT Workshop on Semantic Evaluations : Recent Achievements and,SemEval-2010 Task 8: Multi-Way Classification of Semantic Relations Between Pairs of Nominals,SemEval-2010 Task 8: Multi-Way Classification of Semantic Relations Between Pairs of Nominals,Proceedings of the NAACL HLT Workshop on Semantic Evaluations : Recent Achievements and
P03-1053,-1,0.0,-1,,A Word-Order Database For Testing Computational Models Of Language Acquisition,A Word-Order Database For Testing Computational Models Of Language Acquisition,
W05-0601,-1,0.0,-1,,Effective Use Of WordNet Semantics Via Kernel-Based Learning,Effective Use Of WordNet Semantics Via Kernel-Based Learning,
D10-1082,0.0,0.0,0.0,A Fast Decoder for Joint Word Segmentation and POS - Tagging Using a Single Discriminative Model,A Fast Decoder for Joint Word Segmentation and POS-Tagging Using a Single Discriminative Model,A Fast Decoder for Joint Word Segmentation and POS-Tagging Using a Single Discriminative Model,A Fast Decoder for Joint Word Segmentation and POS - Tagging Using a Single Discriminative Model
P07-1121,-1,0.0,-1,,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,
N04-1022,-1,0.0,-1,,Minimum Bayes-Risk Decoding For Statistical Machine Translation,Minimum Bayes-Risk Decoding For Statistical Machine Translation,
P09-4009,-1,0.0,-1,,System for Querying Syntactically Annotated Corpora,System for Querying Syntactically Annotated Corpora,
W08-1103,-1,0.0,-1,,Generating Textual Summaries of Bar Charts,Generating Textual Summaries of Bar Charts,
P95-1034,-1,0.0,-1,,Two-Level, Many-Paths Generation,Two-Level, Many-Paths Generation,
P97-1070,0.0,0.0,0.0,Representing Paraphrases Using,Representing Paraphrases Using Synchronous TAGS,Representing Paraphrases Using Synchronous TAGS,Representing Paraphrases Using
W97-1311,0.0,0.0,0.0,Event Coreference for Information,Event Coreference For Information Extraction,Event Coreference For Information Extraction,Event Coreference for Information
W03-2802,-1,0.0,-1,,The PEACE SLDS understanding evaluation paradigm of the French MEDIA campaign,The PEACE SLDS understanding evaluation paradigm of the French MEDIA campaign,
W07-2015,-1,0.0,-1,,SemEval-2007 Task 16: Evaluation of Wide Coverage Knowledge Resources,SemEval-2007 Task 16: Evaluation of Wide Coverage Knowledge Resources,
W12-4208,-1,0.0,-1,,Extracting Semantic Transfer Rules from Parallel Corpora with SMT Phrase Aligners,Extracting Semantic Transfer Rules from Parallel Corpora with SMT Phrase Aligners,
W12-4502,-1,0.0,-1,,Latent Structure Perceptron with Feature Induction for Unrestricted Coreference Resolution,Latent Structure Perceptron with Feature Induction for Unrestricted Coreference Resolution,
W06-0136,-1,0.0,-1,,N-Gram Based Two-Step Algorithm For Word Segmentation,N-Gram Based Two-Step Algorithm For Word Segmentation,
D10-1014,-1,0.0,-1,,Soft Syntactic Constraints for Hierarchical Phrase-Based Translation Using Latent Syntactic Distributions,Soft Syntactic Constraints for Hierarchical Phrase-Based Translation Using Latent Syntactic Distributions,
C04-1157,-1,0.0,-1,,Verb Phrase Ellipsis Detection Using Automatically Parsed Text,Verb Phrase Ellipsis Detection Using Automatically Parsed Text,
D11-1129,-1,0.0,-1,,Experimental Support for a Categorical Compositional Distributional Model of Meaning,Experimental Support for a Categorical Compositional Distributional Model of Meaning,
W03-1507,-1,0.0,-1,,Multilingual Resources For Entity Extraction,Multilingual Resources For Entity Extraction,
W06-2914,-1,0.0,-1,,Word Distributions For Thematic Segmentation In A Support Vector Machine Approach,Word Distributions For Thematic Segmentation In A Support Vector Machine Approach,
P13-1015,-1,0.0,-1,,General binarization for parsing and translation,General binarization for parsing and translation,
N07-1054,-1,0.0,-1,,Building and Refining Rhetorical-Semantic Relation Models,Building and Refining Rhetorical-Semantic Relation Models,
J07-3005,0.0,0.0,0.0,Classifying Non-Sentential Utterances in Dialogue : A Machine Learning,Classifying Non-Sentential Utterances in Dialogue: A Machine Learning Approach  ,Classifying Non-Sentential Utterances in Dialogue: A Machine Learning Approach  ,Classifying Non-Sentential Utterances in Dialogue : A Machine Learning
H94-1086,0.0,0.0,0.0,On - Line Cursive Handwriting Recognition Using Hidden Markov Models and Statistical,On-Line Cursive Handwriting Recognition Using Hidden Markov Models And Statistical Grammars,On-Line Cursive Handwriting Recognition Using Hidden Markov Models And Statistical Grammars,On - Line Cursive Handwriting Recognition Using Hidden Markov Models and Statistical
S12-1011,-1,0.0,-1,,Learning Semantics and Selectional Preference of Adjective-Noun Pairs,Learning Semantics and Selectional Preference of Adjective-Noun Pairs,
H89-2028,0.0,0.0,0.0,A CSR - NL INTERFACE SPECIFICATION Version,A CSR-NL Interface Specification Version 1.51,A CSR-NL Interface Specification Version 1.51,A CSR - NL INTERFACE SPECIFICATION Version
I08-2096,0.0,0.0,0.0,Coverage - based Evaluation of Parser Generalizability,Coverage-based Evaluation of Parser Generalizability,Coverage-based Evaluation of Parser Generalizability,Coverage - based Evaluation of Parser Generalizability
W00-1415,-1,0.0,-1,,An Empirical Analysis Of Constructing Non-Restrictive NP Modifiers To Express Semantic Relations,An Empirical Analysis Of Constructing Non-Restrictive NP Modifiers To Express Semantic Relations,
P11-2076,0.0,0.0,0.0,Reordering Constraint Based on Document - Level Context,Reordering Constraint Based on Document-Level Context,Reordering Constraint Based on Document-Level Context,Reordering Constraint Based on Document - Level Context
W13-4048,-1,0.0,-1,,Investigating speaker gaze and pointing behaviour in human-computer interaction with the mint.tools collection,Investigating speaker gaze and pointing behaviour in human-computer interaction with the mint.tools collection,
N09-1023,-1,0.0,-1,,Context-based Message Expansion for Disentanglement of Interleaved Text Conversations,Context-based Message Expansion for Disentanglement of Interleaved Text Conversations,
P11-2118,-1,0.0,-1,,A Hierarchical Model of Web Summaries,A Hierarchical Model of Web Summaries,
W04-1808,0.0,0.0,0.0,Discovering Synonyms and Other Related,Discovering Synonyms And Other Related Words,Discovering Synonyms And Other Related Words,Discovering Synonyms and Other Related
W09-0706,-1,0.0,-1,,Part-of-Speech Tagging of Northern Sotho: Disambiguating Polysemous Function Words,Part-of-Speech Tagging of Northern Sotho: Disambiguating Polysemous Function Words,
W94-0112,-1,0.0,-1,,Bootstrapping Statistical Processing Into A Rule-Based Natural Language Parser,Bootstrapping Statistical Processing Into A Rule-Based Natural Language Parser,
W10-2605,-1,0.0,-1,,Using Domain Similarity for Performance Estimation,Using Domain Similarity for Performance Estimation,
W13-2243,-1,0.0,-1,,FBK-UEdin Participation to the WMT13 Quality Estimation Shared Task,FBK-UEdin Participation to the WMT13 Quality Estimation Shared Task,
I08-2088,0.0,0.0,0.0,Method of Selecting Training Data to Build a Compact and Efﬁcient Translation Model,Method of Selecting Training Data to Build a Compact and Efficient Translation Model,Method of Selecting Training Data to Build a Compact and Efficient Translation Model,Method of Selecting Training Data to Build a Compact and Efﬁcient Translation Model
N09-2069,0.0,0.0,0.0,Proceedings of NAACL HLT 2009 :,Automatic Chinese Abbreviation Generation Using Conditional Random Field,Automatic Chinese Abbreviation Generation Using Conditional Random Field,Proceedings of NAACL HLT 2009 :
C10-1012,-1,0.0,-1,,Broad Coverage Multilingual Deep Sentence Generation with a Stochastic Multi-Level Realizer,Broad Coverage Multilingual Deep Sentence Generation with a Stochastic Multi-Level Realizer,
N07-2035,-1,0.0,-1,,Analysis and System Combination of Phrase- and N-Gram-Based Statistical Machine Translation Systems,Analysis and System Combination of Phrase- and N-Gram-Based Statistical Machine Translation Systems,
S12-1079,0.0,0.0,0.0,- Sem : Chunk - based Determination of Semantic Text Similarity Demetrios Glinos Advanced Text,ATA-Sem: Chunk-based Determination of Semantic Text Similarity,ATA-Sem: Chunk-based Determination of Semantic Text Similarity,- Sem : Chunk - based Determination of Semantic Text Similarity Demetrios Glinos Advanced Text
W08-1006,-1,0.0,-1,,Parsing Three German Treebanks: Lexicalized and Unlexicalized Baselines,Parsing Three German Treebanks: Lexicalized and Unlexicalized Baselines,
D07-1004,0.0,0.0,0.0,Unsupervised SVM Classiﬁer for Answer Selection in Web Question Answering,Learning Unsupervised SVM Classifier for Answer Selection in Web Question Answering,Learning Unsupervised SVM Classifier for Answer Selection in Web Question Answering,Unsupervised SVM Classiﬁer for Answer Selection in Web Question Answering
A92-1001,-1,0.0,-1,,Deriving Database Queries From Logical Forms By Abductive Definition Expansion,Deriving Database Queries From Logical Forms By Abductive Definition Expansion,
P12-2064,-1,0.0,-1,,A Meta Learning Approach to Grammatical Error Correction,A Meta Learning Approach to Grammatical Error Correction,
H05-1094,-1,0.0,-1,,Composition Of Conditional Random Fields For Transfer Learning,Composition Of Conditional Random Fields For Transfer Learning,
P11-1062,-1,0.0,-1,,Global Learning of Typed Entailment Rules,Global Learning of Typed Entailment Rules,
W10-2208,-1,0.0,-1,,Toward a Totally Unsupervised, Language-Independent Method for the Syllabification of Written Texts,Toward a Totally Unsupervised, Language-Independent Method for the Syllabification of Written Texts,
P10-2003,-1,0.0,-1,,Learning Lexicalized Reordering Models from Reordering Graphs,Learning Lexicalized Reordering Models from Reordering Graphs,
D11-1066,-1,0.0,-1,,Using Syntactic and Semantic Structural Kernels for Classifying Definition Questions in Jeopardy!,Using Syntactic and Semantic Structural Kernels for Classifying Definition Questions in Jeopardy!,
W07-1420,-1,0.0,-1,,Textual Entailment Through Extended Lexical Overlap and Lexico-Semantic Matching,Textual Entailment Through Extended Lexical Overlap and Lexico-Semantic Matching,
W06-3904,-1,0.0,-1,,Towards a redundancy elimination algorithm for underspecified descriptions,Towards a redundancy elimination algorithm for underspecified descriptions,
P10-2062,-1,0.0,-1,,Automatically Generating Annotator Rationales to Improve Sentiment Classification,Automatically Generating Annotator Rationales to Improve Sentiment Classification,
W09-2410,-1,0.0,-1,,Improvements To Monolingual English Word Sense Disambiguation,Improvements To Monolingual English Word Sense Disambiguation,
P99-1007,0.0,0.0,0.0,Equation I S A R (,Unifying Parallels,Unifying Parallels,Equation I S A R (
E09-1060,-1,0.0,-1,,Correcting a POS-Tagged Corpus Using Three Complementary Methods,Correcting a POS-Tagged Corpus Using Three Complementary Methods,
W10-2917,-1,0.0,-1,,Improving Word Alignment by Semi-Supervised Ensemble,Improving Word Alignment by Semi-Supervised Ensemble,
W04-3233,-1,0.0,-1,,NP Bracketing By Maximum Entropy Tagging And SVM Reranking,NP Bracketing By Maximum Entropy Tagging And SVM Reranking,
W13-3606,-1,0.0,-1,,A Tree Transducer Model for Grammatical Error Correction,A Tree Transducer Model for Grammatical Error Correction,
W04-1015,-1,0.0,-1,,Sentence Compression For Automated Subtitling: A Hybrid Approach,Sentence Compression For Automated Subtitling: A Hybrid Approach,
C88-1081,-1,0.0,-1,,Representing Regularities In The Metaphoric Lexicon,Representing Regularities In The Metaphoric Lexicon,
W12-1625,-1,0.0,-1,,Probabilistic Dialogue Models with Prior Domain Knowledge,Probabilistic Dialogue Models with Prior Domain Knowledge,
W04-3205,-1,0.0,-1,,VerbOcean: Mining The Web For Fine-Grained Semantic Verb Relations,VerbOcean: Mining The Web For Fine-Grained Semantic Verb Relations,
D13-1172,-1,0.0,-1,,Exploiting Domain Knowledge in Aspect Extraction,Exploiting Domain Knowledge in Aspect Extraction,
P08-2021,-1,0.0,-1,,Machine Translation System Combination using ITG-based Alignments,Machine Translation System Combination using ITG-based Alignments,
C00-2159,0.0,0.0,0.0,A Bootstrapping Method for Extracting Bilingual Text Pairs,A Bootstrapping Method For Extracting Bilingual Text Pairs,A Bootstrapping Method For Extracting Bilingual Text Pairs,A Bootstrapping Method for Extracting Bilingual Text Pairs
W09-2817,0.0,0.0,0.0,c2009 ACL and AFNLP The GREC Named Entity Generation Challenge 2009 : Overview and,The GREC Named Entity Generation Challenge 2009: Overview and Evaluation Results,The GREC Named Entity Generation Challenge 2009: Overview and Evaluation Results,c2009 ACL and AFNLP The GREC Named Entity Generation Challenge 2009 : Overview and
P04-3018,0.0,0.0,0.0,Resource Analysis for Question,Resource Analysis For Question Answering,Resource Analysis For Question Answering,Resource Analysis for Question
W97-0804,0.0,0.0,0.0,: II HYPON ' YlVl 'N : oll [ 2 ] 1 H ~ ON ' CM N : animal od I ~ - rCPONVM N : glycende HYPON,Formal Redundancy And Consistency Checking Rules For The Lexicai Database WordNet 1.5,Formal Redundancy And Consistency Checking Rules For The Lexicai Database WordNet 1.5,: II HYPON ' YlVl 'N : oll [ 2 ] 1 H ~ ON ' CM N : animal od I ~ - rCPONVM N : glycende HYPON
W10-3010,-1,0.0,-1,,A High-Precision Approach to Detecting Hedges and their Scopes,A High-Precision Approach to Detecting Hedges and their Scopes,
W11-2026,-1,0.0,-1,,Facilitating Mental Modeling in Collaborative Human-Robot Interaction through Adverbial Cues,Facilitating Mental Modeling in Collaborative Human-Robot Interaction through Adverbial Cues,
W00-0725,-1,0.0,-1,,A Comparison Of PCFG Models,A Comparison Of PCFG Models,
W90-0110,-1,0.0,-1,,Using Discourse Focus, Temporal Focus, And Spatial Focus To Generate Multisentential Text,Using Discourse Focus, Temporal Focus, And Spatial Focus To Generate Multisentential Text,
I08-1070,0.0,0.0,0.0,Computing Paraphrasability of Syntactic Variants Using Web,Computing Paraphrasability of Syntactic Variants Using Web Snippets,Computing Paraphrasability of Syntactic Variants Using Web Snippets,Computing Paraphrasability of Syntactic Variants Using Web
E12-1055,-1,0.0,-1,,Perplexity Minimization for Translation Model Domain Adaptation in Statistical Machine Translation,Perplexity Minimization for Translation Model Domain Adaptation in Statistical Machine Translation,
C96-2116,0.0,0.0,0.0,A GENEI ~ LIZEI ) RECONSTRUCTION ALGORITHM FOR ELLIPSIS RESOLUTION,A Generalized Reconstruction Algorithm For Ellipsis Resolution,A Generalized Reconstruction Algorithm For Ellipsis Resolution,A GENEI ~ LIZEI ) RECONSTRUCTION ALGORITHM FOR ELLIPSIS RESOLUTION
W04-0834,-1,0.0,-1,,Supervised Word Sense Disambiguation With Support Vector Machines And Multiple Knowledge Sources,Supervised Word Sense Disambiguation With Support Vector Machines And Multiple Knowledge Sources,
W11-1705,-1,0.0,-1,,Generating Semantic Orientation Lexicon using Large Data and Thesaurus,Generating Semantic Orientation Lexicon using Large Data and Thesaurus,
P02-1006,-1,0.0,-1,,Learning Surface Text Patterns For A Question Answering System,Learning Surface Text Patterns For A Question Answering System,
A97-1012,0.0,0.0,0.0,INCREMENTAL FINITE - STATE PARSING,Incremental Finite-State Parsing,Incremental Finite-State Parsing,INCREMENTAL FINITE - STATE PARSING
P07-1073,-1,0.0,-1,,Learning to Extract Relations from the Web using Minimal Supervision,Learning to Extract Relations from the Web using Minimal Supervision,
Q13-1019,-1,0.0,-1,,Modeling Semantic Relations Expressed by Prepositions,Modeling Semantic Relations Expressed by Prepositions,
C10-2139,0.0,0.0,0.0,Word - Based and Character - Based Word Segmentation Models : Comparison and Combination,Word-based and Character-based Word Segmentation Models: Comparison and Combination,Word-based and Character-based Word Segmentation Models: Comparison and Combination,Word - Based and Character - Based Word Segmentation Models : Comparison and Combination
D11-1055,-1,0.0,-1,,Predicting a Scientific Community's Response to an Article,Predicting a Scientific Community's Response to an Article,
W01-0903,0.0,0.0,0.0,Usability Evaluation in Spoken Language Dialogue,Usability Evaluation In Spoken Language Dialogue Systems,Usability Evaluation In Spoken Language Dialogue Systems,Usability Evaluation in Spoken Language Dialogue
W04-1607,-1,0.0,-1,,Finite-State Morphological Analysis Of Persian,Finite-State Morphological Analysis Of Persian,
I08-2106,-1,0.0,-1,,Syntactic and Semantic Frames in PrepNet,Syntactic and Semantic Frames in PrepNet,
W05-0504,-1,0.0,-1,,Refining The SED Heuristic For Morpheme Discovery: Another Look At Swahili,Refining The SED Heuristic For Morpheme Discovery: Another Look At Swahili,
